unique_id,Property Address,Floor,Suite,Size (SF),Rent/SF/Year,Associate 1,BROKER Email ID,Associate 2,Associate 3,Associate 4,Annual Rent,Monthly Rent,GCI On 3 Years
1,36 W 36th St,E3,300,2200,$29.00,Avery Reavill,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$63,800","$5,317","$8,932"
2,15 W 38th St,E3,300,7500,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$337,500","$28,125","$47,250"
3,15 W 38th St,E6,600,7500,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$337,500","$28,125","$47,250"
4,15 W 38th St,P7,702,800,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$36,000","$3,000","$5,040"
5,15 W 38th St,P8,808,600,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$27,000","$2,250","$3,780"
6,15 W 38th St,P9,901,3857,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$173,565","$14,464","$24,299"
7,15 W 38th St,P9,902,1000,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$45,000","$3,750","$6,300"
8,15 W 38th St,E10,101,7500,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$337,500","$28,125","$47,250"
9,15 W 38th St,P11,1102,2870,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$129,150","$10,763","$18,081"
10,15 W 38th St,P11,1103,1412,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$63,540","$5,295","$8,896"
11,15 W 38th St,P12,1202,800,$45.00,Alex Fleischman,varshit@okadaco.com,Ken Lerner,Christopher Okada,Lazaro Rabaneles,"$36,000","$3,000","$5,040"
12,1412 Broadway,P4,404,1657,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$86,164","$7,180","$12,063"
13,1412 Broadway,P4,407,1615,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$83,980","$6,998","$11,757"
14,1412 Broadway,E5,500,21396,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$1,112,592","$92,716","$155,763"
15,1412 Broadway,E6,600,21396,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$1,112,592","$92,716","$155,763"
16,1412 Broadway,E7,700,21396,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$1,112,592","$92,716","$155,763"
17,1412 Broadway,E8,800,21396,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$1,112,592","$92,716","$155,763"
18,1412 Broadway,P16,1600,7770,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$404,040","$33,670","$56,566"
19,1412 Broadway,P16,1606,2642,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$137,384","$11,449","$19,234"
20,1412 Broadway,P23,2310,2000,$52.00,Thomas Capuano,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$104,000","$8,667","$14,560"
21,314 E 34th St,P2,200,2300,$34.00,Avery Reavill,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$78,200","$6,517","$10,948"
22,221-223 W 37th St,E3,300,4500,$28.00,Avery Reavill,varshit@okadaco.com,Alex Fleischman,Christopher Okada,Lazaro Rabanales,"$126,000","$10,500","$17,640"
23,14 E 44th St,E4,400,2500,$34.00,Alex Fleischman,varshit@okadaco.com,Christopher Okada,Lazaro Rabanales,,"$85,000","$7,083","$11,900"
24,14 E 44th St,E5,500,2500,$34.00,Alex Fleischman,varshit@okadaco.com,Christopher Okada,Lazaro Rabanales,,"$85,000","$7,083","$11,900"
25,202 W 40th St,E2,200,2850,$33.00,Lazaro Rabanales,varshit@okadaco.com,Alex Fleischman,,,"$94,050","$7,838","$13,167"
26,202 W 40th St,E5,500,2850,$33.00,Lazaro Rabanales,varshit@okadaco.com,Alex Fleischman,,,"$94,050","$7,838","$13,167"
27,202 W 40th St,E9,903,989,$33.00,Lazaro Rabanales,varshit@okadaco.com,Alex Fleischman,,,"$32,637","$2,720","$4,569"
28,345 Seventh Avenue,P25,2501,3840,$55.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$211,200","$17,600","$56,566"
29,345 Seventh Avenue,E23,Duplex,3840,$55.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$211,200","$17,600","$19,234"
30,345 Seventh Avenue,E21,677,7828,$55.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$430,540","$35,878","$14,560"
31,345 Seventh Avenue,E20,1136,7800,$55.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$429,000","$35,750","$10,948"
32,345 Seventh Avenue,E20,901,7815,$55.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$429,825","$35,819","$17,640"
33,345 Seventh Avenue,P18,1802,2391,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$119,550","$9,963","$11,900"
34,345 Seventh Avenue,P16,1602,3333,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$166,650","$13,888","$11,900"
35,345 Seventh Avenue,P15,1500,5088,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$254,400","$21,200","$13,167"
36,345 Seventh Avenue,P14,1403,617,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$30,850","$2,571","$13,167"
37,345 Seventh Avenue,P14,1404,1732,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$86,600","$7,217","$4,569"
38,345 Seventh Avenue,P12,1202,4271,$50.00,Ralph Giordano,varshit@okadaco.com,Alex Fleischman,Lazaro Rabanales,,"$213,550","$17,796","$56,566"
